instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|47869,47869,NIFTY2592326650CE,NIFTY,2.1,2025-09-23,26650.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47866,47866,NIFTY2592326600CE,NIFTY,1.5,2025-09-23,26600.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47867,47867,NIFTY2592326600PE,NIFTY,1736.15,2025-09-23,26600.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47872,47872,NIFTY2592326700PE,NIFTY,1838.05,2025-09-23,26700.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47875,47875,NIFTY2592326750PE,NIFTY,1888.85,2025-09-23,26750.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47874,47874,NIFTY2592326750CE,NIFTY,1.45,2025-09-23,26750.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47871,47871,NIFTY2592326700CE,NIFTY,1.5,2025-09-23,26700.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47870,47870,NIFTY2592326650PE,NIFTY,1782.15,2025-09-23,26650.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47859,47859,NIFTY2592326550CE,NIFTY,1.6,2025-09-23,26550.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47858,47858,NIFTY2592326500PE,NIFTY,1623.85,2025-09-23,26500.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47855,47855,NIFTY2592326450CE,NIFTY,2.1,2025-09-23,26450.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47854,47854,NIFTY2592326400PE,NIFTY,1534.3,2025-09-23,26400.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47857,47857,NIFTY2592326500CE,NIFTY,1.45,2025-09-23,26500.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47856,47856,NIFTY2592326450PE,NIFTY,1584.15,2025-09-23,26450.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47860,47860,NIFTY2592326550PE,NIFTY,1690.05,2025-09-23,26550.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47804,47804,NIFTY2592325800PE,NIFTY,940.0,2025-09-23,25800.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47803,47803,NIFTY2592325800CE,NIFTY,6.75,2025-09-23,25800.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47805,47805,NIFTY2592325850CE,NIFTY,234.55,2025-09-23,25850.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47822,47822,NIFTY2592326000PE,NIFTY,1069.0,2025-09-23,26000.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47821,47821,NIFTY2592326000CE,NIFTY,4.05,2025-09-23,26000.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47815,47815,NIFTY2592325950CE,NIFTY,206.6,2025-09-23,25950.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47814,47814,NIFTY2592325900PE,NIFTY,1039.0,2025-09-23,25900.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47816,47816,NIFTY2592325950PE,NIFTY,1071.45,2025-09-23,25950.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47813,47813,NIFTY2592325900CE,NIFTY,220.25,2025-09-23,25900.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47812,47812,NIFTY2592325850PE,NIFTY,974.95,2025-09-23,25850.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47879,47879,NIFTY2592326800CE,NIFTY,1.3,2025-09-23,26800.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|47880,47880,NIFTY2592326800PE,NIFTY,1938.15,2025-09-23,26800.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47882,47882,NIFTY2592326850PE,NIFTY,1988.35,2025-09-23,26850.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|47881,47881,NIFTY2592326850CE,NIFTY,1.3,2025-09-23,26850.0,0.05,75.0,OPTIDX,CE,NSE_FO
